,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
40,qnQG2OYczrvJ3hals7gCjA,One Fifth,"1 5th Ave, New York, NY 10003",10003,40.731958617147676,-73.99622414955519,4.5,30,italian
41,B2X53VuOuLyXe0OsGY-ZzA,La Pecora Bianca,"817 Washington St, New York, NY 10014",10014,40.73959,-74.00775,4.5,36,italian
42,rJ9V5bMbP_e9ABaTkPjAbA,Coco Pazzeria,"1078 First Ave., New York, NY 10022",10022,40.7557292,-73.9645808,4.0,68,italian
43,kLJfizeHMQqesp1K9mfUtg,Via Quadronno,"25 E 73rd St, New York, NY 10021",10021,40.77277,-73.96514,4.0,607,italian
44,JwCnSW-RQ7_DxvbzWNO1hA,Coletta,"365 3rd Ave, New York, NY 10016",10016,40.74094,-73.98139,4.5,166,italian
45,RPP_wHhM8yZYIP5W-YHk6Q,Fumo,"2791 Broadway, New York, NY 10025",10025,40.80285617298625,-73.968119,4.0,209,italian
46,-UvkD-dQiefHRl1SNOJywA,La Pecora Bianca,"1562 2nd Ave, New York, NY 10028",10028,40.77477802702051,-73.95379483409555,4.0,20,italian
47,2Nwmd7-1d1rI6lb9QSSYYA,A Pasta Bar,"330 W Broadway, New York, NY 10013",10013,40.72229,-74.00403,4.0,468,italian
48,yIFI6afTRP-tBhY6WsUOPg,Popina,"127 Columbia St, Brooklyn, NY 11231",11231,40.687361962701,-74.0014251909241,4.5,88,italian
49,lgFApPVpbXnsIFw1CRJORw,Cellini Restaurant,"65 E 54th St, New York, NY 10022",10022,40.760115,-73.972686,4.0,179,italian
50,HpxYBu1ARzOGvuUcLJe54g,Giardino 54,"400 1/2 W 54th St, New York, NY 10019",10019,40.7660476,-73.987591,4.5,195,italian
51,6eqrk1wCQMww_ejze5gvsg,Forsythia,"9 Stanton St, New York, NY 10002",10002,40.7225353,-73.992492,4.5,132,italian
52,zwOAiVT4pAmpNGXzj-t5MA,Lilia,"567 Union Ave, Brooklyn, NY 11211",11211,40.71757,-73.95236,4.0,1115,italian
53,Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,"352 W 39th St, New York, NY 10018",10018,40.75619,-73.9937,4.0,1027,italian
54,vVVmHacu2YAxKfpIjhfd1g,Norma,"438 3rd Ave, New York, NY 10016",10016,40.743553,-73.980026,4.5,595,italian
55,JLpEKUYAtzBRQwsUL3RPIA,Il Corso,"54 W 55th St, New York, NY 10019",10019,40.762441,-73.977206,4.5,422,italian
56,iQo5aJwTL_ZrXCdPFKq-RA,Isle of Capri,"1028 3rd Ave, New York, NY 10065",10065,40.76283,-73.96602,4.0,280,italian
57,7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,"890 2nd Ave, New York, NY 10017",10017,40.753188,-73.969365,4.5,291,italian
58,r2nIYBSyXny1-7XvsL2PVg,Lena's Italian Kitchen,"551 2nd Ave, New York, NY 10016",10016,40.742664,-73.977783,4.5,324,italian
59,RG5atiZtuNtpDu6GrNUQGw,NORMA Gastronomia Siciliana,"801 9th Ave, New York, NY 10019",10019,40.76563298237293,-73.98769143895947,4.0,86,italian
60,mlm40NxsVJUPnh3LTayaaw,Kimika,"40 Kenmare St, New York, NY 10012",10012,40.720572,-73.995206,4.0,331,italian
61,5k_jwjhdFMPUNWhouGNzuA,Misi,"329 Kent Ave, Brooklyn, NY 11249",11249,40.71341,-73.96662,4.0,567,italian
62,xsQTIeq-WLkp4ParkTQpMQ,PizzArte,"69 W 55th St, New York, NY 10019",10019,40.7629335072372,-73.9776668697596,4.0,1249,italian
63,LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,"900 7th Ave, New York, NY 10019",10019,40.76545990643915,-73.98053136970677,4.0,1158,italian
64,nHMDOIX32dGbfpuNUwsLNQ,AlMar,"111 Front St, Brooklyn, NY 11201",11201,40.702662,-73.989177,4.0,491,italian
65,5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,"147 W 43rd St, New York, NY 10036",10036,40.75641,-73.98547,4.0,2486,italian
66,7AknGS1qVEyq_pHfmjkZtg,Wolf at Nordstrom NYC,"225 W 57th St, New York, NY 10019",10019,40.766449907700014,-73.98159218717193,4.5,108,italian
67,qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,"196 Spring St, New York, NY 10012",10012,40.72506,-74.00322,4.5,758,italian
68,4WDHrSodF1Xidv9ezS6Sgg,Tuscany Steakhouse,"117 W 58th St, New York, NY 10019",10019,40.76546,-73.97724,4.5,204,italian
69,_N92SH1Zi-Hbxn_bNHFz0Q,Noodle Pudding,"38 Henry St, Brooklyn, NY 11201",11201,40.69979,-73.99203,4.0,609,italian
70,riykDqJw_NPGssLgqCeD-Q,Aunt Jake's,"1555 2nd Ave, New York, NY 10028",10028,40.774587,-73.954513,4.5,179,italian
71,kQuTJxm0KAX1AsS46vhC_g,Barbuto,"113 Horatio St, New York, NY 10014",10014,40.73885,-74.00932,4.0,80,italian
72,bW3mY-voyav37nU0uaLmNQ,Dante,"79-81 Macdougal St, New York, NY 10012",10012,40.72879,-74.00165,4.0,588,italian
73,hSpZSqElyjHTfE4lQJ97Cg,Mareluna,"137 Sullivan St, New York, NY 10012",10012,40.726787,-74.001836,4.5,64,italian
74,2_3W7NFFN3m4U_8ffgEuyQ,Cafe Spaghetti,"126 Union St, Brooklyn, NY 11231",11231,40.68412,-74.0024,4.5,67,italian
75,F8RLZFoTxOO_GBPJNjz3kA,Mark's Off Madison,"41 Madison Ave, Ground Level, New York, NY 10010",10010,40.742325,-73.986271,4.0,127,italian
76,U91Lj5NUG42zweY_LKjKbQ,Fasano Restaurant New York,"280 Park Ave Entrance On 49th St, New York, NY 10017",10017,40.75675458251292,-73.9755649,4.0,18,italian
77,MOwB9YYd-Ko6nVgSB-ltQw,Briciola,"370 W 51st St, New York, NY 10019",10019,40.7637997047278,-73.9880919456482,4.0,982,italian
78,zo4JHfD2nWPUiqgsgDOaHQ,Rao's,"455 E 114th St, New York, NY 10029",10029,40.79392,-73.93427,4.5,207,italian
79,aLM9irVFlNoVlS9dGuW_Lg,Amata,"209 E 56th St, New York, NY 10022",10022,40.759426,-73.967063,4.0,94,italian
80,C9BjYm4WyoQFPQUHmBErDg,Bird Dog,"525 Hudson St, New York, NY 10014",10014,40.733983,-74.006549,4.5,151,italian
81,_s56OqZ8zY-q4Jn9I_iVOg,Marezzata,"231 E 50th St, New York, NY 10022",10022,40.755506,-73.969422,5.0,8,italian
82,jDIVPYpxQAk1HUAi0NIlQw,Pazza Notte,"1375 Avenue Of The Americas, New York, NY 10019",10019,40.76348,-73.978091,4.0,997,italian
83,vhqFa_0SG9M7Ra1OTmfB9A,LaRina Pastificio & Vino,"387 Myrtle Ave, Brooklyn, NY 11205",11205,40.6933631896973,-73.9704132080078,4.0,217,italian
84,syNFp2qrQtXfH4bskQVgaA,Portale,"126 W 18th St, New York, NY 10011",10011,40.74023348892918,-73.9962661,4.5,153,italian
85,mPHPVJ2-8mOR-lFHafrc6w,Evelina,"211 Dekalb Ave, Brooklyn, NY 11205",11205,40.689722,-73.971003,4.5,310,italian
86,H5bhfR5sL0I2w1csjI1uMA,Piatto,"1-50 50th Ave, Corner of Center Blvd & 50th Avenue, Long Island City, NY 11101",11101,40.7435117,-73.9590968,4.0,234,italian
87,pk89jzL1RsE9U0thf_z6tw,Locanda Verde,"377 Greenwich St, New York, NY 10013",10013,40.7198601300801,-74.010039072422,4.0,1815,italian
88,5F9kZPnAleDYqCeCyvGJPA,Bad Roman,"10 Columbus Cir, New York, NY 10019",10019,40.768494,-73.983072,4.5,9,italian
89,b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,"2370 Belmont Ave, Bronx, NY 10458",10458,40.854131,-73.886601,4.5,1009,italian
