,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
4159,o5sUOmtzcHAeSWtUuFJ00g,Anjappar Indian Cuisine,"116 Lexington Ave, New York, NY 10016",10016,40.742603,-73.982795,3.0,372,indian
4160,7lztzQTF79er1RydVnPiDg,Noi Due,"491 Columbus Ave, New York, NY 10024",10024,40.7848351,-73.9730166,3.5,257,indian
4161,YJ88ZwMU499QfkD52qSJBw,Brick Lane Curry House,"136 Newark Ave, Jersey City, NJ 07302",07302,40.72046,-74.04345,4.0,98,indian
4162,rp_TaJRjaNmOCb8vJ2S_sw,Blossom on Columbus,"507 Columbus Ave, New York, NY 10024",10024,40.7853146,-73.9728638,4.0,497,indian
4163,nQfPwIasXCi8NwNKq65vfw,Mysttik Masaala,"152 West 52nd St, Inside Urban Space, New York, NY 10019",10019,40.7617745,-73.98173,4.5,122,indian
4164,PdzL9svqapSqH4o8bF86Pw,Punjabi Grocery & Deli,"114 E 1st St, New York, NY 10009",10009,40.7227225423661,-73.9866224576721,4.5,453,indian
4165,-mQG7oEHSAMr9dBDrrqI2g,deep indian kitchen - indikitch,"1190 Avenue Of The Americas, Rockefeller Center, New York, NY 10036",10036,40.75763,-73.9817,3.5,187,indian
4166,tfGKVbzMHq4mhVBzrDnVWQ,Lahori Kabab Restaurant,"106 Lexington Ave, New York, NY 10016",10016,40.742411,-73.9829868,3.5,102,indian
4167,jUkSkpxsJxiTa5C-H5pnyw,Tikka N Talk,"70-11 Austin St, Lower Level, Forest Hills, NY 11375",11375,40.72097,-73.84639,4.5,119,indian
4170,yb9o5T88FPUXYOzxyXlUcw,Ganesh Temple Canteen,"143-09 Holly Ave, Flushing, NY 11355",11355,40.75262,-73.816511,4.5,288,indian
4171,hKKDfUPcDX_c-RCWBMOr1w,Bombay Sandwich Co.,"48 W 27th St, New York, NY 10001",10001,40.7450715521913,-73.990359620218,4.0,457,indian
4172,U3hvDT5CtQrnpg2zhJg3mQ,Kashmir 9 - Cuisine of Pakistan,"478 9th Ave, New York, NY 10018",10018,40.7549782340085,-73.9948511123657,3.5,218,indian
4174,JvV8sTgUX6abRQPzb3hLgg,Asian Curry Hut,"534 9th Ave, New York, NY 10018",10018,40.75674,-73.99347,3.5,130,indian
4175,ml3ASw5_B5XLnd9kE8xx3g,Salt & Pepper,"139 W 33rd St, New York, NY 10001",10001,40.7498789,-73.9900547,3.0,99,indian
4176,niivJKBqY5wToDukqZHetQ,Karma Kafe,"505 Washington St, Hoboken, NJ 07030",07030,40.74238,-74.02909,4.0,766,indian
4177,4Jr7xtN_KvSf6b2zWWW5Ng,Tikka Masala,"10-57 Jackson Ave, Long Island City, NY 11101",11101,40.74277,-73.95271,3.5,29,indian
4178,7-mcmUETyMifs3rbpvCObA,Yeti Spice Grill,"1764 1st Ave, New York, NY 10128",10128,40.7802334786396,-73.9467215538025,4.5,63,indian
